event_title,event_category,event_date,location,description
مساعدة في تنظيم فعالية - 2024-01-16,مساعدة في تنظيم فعالية,2024-01-16,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-01-18,مساعدة في تنظيم فعالية,2024-01-18,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-01-20,تقديم دروس تقوية,2024-01-20,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-01-20,تنظيم مباراة رياضية,2024-01-20,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-01-25,تقديم دورة,2024-01-25,,Imported from volunteer-hours spreadsheet
تقديم دورة - 2024-01-28,تقديم دورة,2024-01-28,,Imported from volunteer-hours spreadsheet
تنظيم لقاء أو فعالية - 2024-02-04,تنظيم لقاء أو فعالية,2024-02-04,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-18,مساعدة في تنظيم فعالية,2024-02-18,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-21,مساعدة في تنظيم فعالية,2024-02-21,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-22,مساعدة في تنظيم فعالية,2024-02-22,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-23,مساعدة في تنظيم فعالية,2024-02-23,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-02-27,تقديم دروس تقوية,2024-02-27,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-02-27,تنظيم مباراة رياضية,2024-02-27,,Imported from volunteer-hours spreadsheet
مساعدة في تنظيم فعالية - 2024-02-29,مساعدة في تنظيم فعالية,2024-02-29,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-03-01,تقديم دروس تقوية,2024-03-01,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-03-01,تنظيم مباراة رياضية,2024-03-01,,Imported from volunteer-hours spreadsheet
تقديم دروس تقوية - 2024-03-03,تقديم دروس تقوية,2024-03-03,,Imported from volunteer-hours spreadsheet
تنظيم مباراة رياضية - 2024-03-03,تنظيم مباراة رياضية,2024-03-03,,Imported from volunteer-hours spreadsheet
